,train,val,test
0,286_thumbnail,52752_thumbnail,38901_thumbnail
1,2666_thumbnail,22740_thumbnail,46444_thumbnail
2,2906_thumbnail,44804_thumbnail,59002_thumbnail
3,3222_thumbnail,7329_thumbnail,19030_thumbnail
4,3511_thumbnail,30792_thumbnail,30515_thumbnail
5,5265_thumbnail,6363_thumbnail,10469_thumbnail
6,6281_thumbnail,34822_thumbnail,51499_thumbnail
7,6793_thumbnail,15742_thumbnail,40503_thumbnail
8,7204_thumbnail,63121_thumbnail,24023_thumbnail
9,7490_thumbnail,43998_thumbnail,53098_thumbnail
10,8531_thumbnail,44962_thumbnail,10800_thumbnail
11,10077_thumbnail,4608_thumbnail,57711_thumbnail
12,10246_thumbnail,45990_thumbnail,9658_thumbnail
13,11431_thumbnail,15231_thumbnail,17067_thumbnail
14,12522_thumbnail,4827_thumbnail,29615_thumbnail
15,12902_thumbnail,22290_thumbnail,22155_thumbnail
16,14401_thumbnail,6359_thumbnail,38687_thumbnail
17,14424_thumbnail,60988_thumbnail,56861_thumbnail
18,14617_thumbnail,14051_thumbnail,3191_thumbnail
19,15188_thumbnail,1952_thumbnail,21929_thumbnail
20,15671_thumbnail,56947_thumbnail,51346_thumbnail
21,15912_thumbnail,61424_thumbnail,18568_thumbnail
22,16064_thumbnail,12159_thumbnail,61852_thumbnail
23,17487_thumbnail,29240_thumbnail,54590_thumbnail
24,17738_thumbnail,37655_thumbnail,34720_thumbnail
25,18138_thumbnail,17174_thumbnail,29888_thumbnail
26,18607_thumbnail,52784_thumbnail,59383_thumbnail
27,18810_thumbnail,4211_thumbnail,6843_thumbnail
28,19569_thumbnail,10143_thumbnail,48861_thumbnail
29,20882_thumbnail,54506_thumbnail,32596_thumbnail
30,21232_thumbnail,30508_thumbnail,9341_thumbnail
31,21373_thumbnail,970_thumbnail,39893_thumbnail
32,21910_thumbnail,60058_thumbnail,24991_thumbnail
33,22221_thumbnail,15221_thumbnail,13364_thumbnail
34,22924_thumbnail,57468_thumbnail,28922_thumbnail
35,23629_thumbnail,15139_thumbnail,5015_thumbnail
36,25604_thumbnail,63897_thumbnail,54007_thumbnail
37,26939_thumbnail,6951_thumbnail,6140_thumbnail
38,27851_thumbnail,50712_thumbnail,17365_thumbnail
39,28066_thumbnail,64950_thumbnail,36204_thumbnail
40,28736_thumbnail,39425_thumbnail,36513_thumbnail
41,30712_thumbnail,32112_thumbnail,35592_thumbnail
42,31383_thumbnail,33976_thumbnail,8130_thumbnail
43,32042_thumbnail,21303_thumbnail,26862_thumbnail
44,32432_thumbnail,12244_thumbnail,31793_thumbnail
45,32636_thumbnail,34688_thumbnail,38849_thumbnail
46,33984_thumbnail,39252_thumbnail,48502_thumbnail
47,34690_thumbnail,62476_thumbnail,25331_thumbnail
48,35754_thumbnail,3084_thumbnail,38019_thumbnail
49,35909_thumbnail,35792_thumbnail,2227_thumbnail
50,35953_thumbnail,,
51,38118_thumbnail,,
52,38479_thumbnail,,
53,38647_thumbnail,,
54,39269_thumbnail,,
55,40079_thumbnail,,
56,40124_thumbnail,,
57,43280_thumbnail,,
58,44232_thumbnail,,
59,44700_thumbnail,,
60,45630_thumbnail,,
61,46688_thumbnail,,
62,47105_thumbnail,,
63,49942_thumbnail,,
64,49995_thumbnail,,
65,50048_thumbnail,,
66,50246_thumbnail,,
67,50304_thumbnail,,
68,50962_thumbnail,,
69,51032_thumbnail,,
70,51128_thumbnail,,
71,51215_thumbnail,,
72,51679_thumbnail,,
73,52108_thumbnail,,
74,52836_thumbnail,,
75,52846_thumbnail,,
76,53402_thumbnail,,
77,53859_thumbnail,,
78,53900_thumbnail,,
79,54408_thumbnail,,
80,55279_thumbnail,,
81,55876_thumbnail,,
82,56875_thumbnail,,
83,59760_thumbnail,,
84,59900_thumbnail,,
85,60928_thumbnail,,
86,60936_thumbnail,,
87,61320_thumbnail,,
88,61823_thumbnail,,
89,63367_thumbnail,,
90,63429_thumbnail,,
91,63836_thumbnail,,
92,64771_thumbnail,,
93,1943_thumbnail,,
